Stop,Departure Location,Destination Location,Price (RM),Departure Month,Departure Day,Departure Hour,Departure Minute
1,AOR,BKI,209.0,10,24,14,45
1,AOR,BKI,446.1,10,24,14,45
0,AOR,JHB,304.3,10,24,11,20
1,BKI,AOR,496.1,10,24,9,10
1,BKI,AOR,456.11,10,24,17,45
0,BKI,JHB,374.3,10,24,10,45
0,BKI,KCH,444.3,10,24,15,45
0,BKI,KUL,324.3,10,24,9,10
0,BKI,KUL,324.3,10,24,11,40
0,BKI,KUL,324.3,10,24,17,45
1,BKI,LGK,516.09,10,24,9,10
1,BKI,LGK,536.1,10,24,9,10
1,BKI,LGK,516.09,10,24,9,10
1,BKI,LGK,516.09,10,24,9,10
1,BKI,LGK,556.1,10,24,9,10
1,BKI,LGK,516.09,10,24,11,40
1,BKI,LGK,516.09,10,24,11,40
1,BKI,LGK,516.09,10,24,11,40
1,BKI,LGK,536.1,10,24,17,45
1,BKI,LGK,536.1,10,24,17,45
0,BKI,MYY,314.3,10,24,8,5
0,BKI,PEN,284.3,10,24,17,30
0,BKI,SDK,104.0,10,24,10,0
0,BKI,SDK,164.0,10,24,12,25
0,BKI,SDK,194.0,10,24,13,20
0,BKI,TWU,174.0,10,24,7,25
0,BKI,TWU,214.0,10,24,10,45
0,BKI,TWU,264.0,10,24,14,50
0,BTU,KCH,424.0,10,24,12,30
0,BTU,KCH,304.0,10,24,18,55
0,IPH,LGK,314.3,10,24,12,50
0,JHB,AOR,224.3,10,24,9,30
0,JHB,BKI,324.3,10,24,8,0
0,JHB,KUL,134.3,10,24,8,25
1,JHB,LBU,506.1,10,24,8,25
0,JHB,LGK,394.3,10,24,13,25
0,JHB,PEN,224.3,10,24,13,45
1,JHB,SDK,564.92,10,24,8,0
1,JHB,SDK,596.72,10,24,8,0
1,JHB,TGG,195.99,10,24,8,25
1,JHB,TGG,195.99,10,24,8,25
0,KBR,KUL,224.3,10,24,11,35
0,KBR,KUL,224.3,10,24,13,40
0,KBR,KUL,224.3,10,24,17,45
0,KBR,KUL,224.3,10,24,18,25
0,KBR,KUL,184.3,10,24,19,40
1,KBR,LBU,556.1,10,24,17,45
1,KBR,LBU,556.1,10,24,18,25
1,KBR,LBU,516.1,10,24,19,40
1,KBR,SDK,636.1,10,24,18,25
1,KBR,SDK,596.1,10,24,19,40
1,KBR,TGG,426.1,10,24,11,35
1,KBR,TGG,466.09,10,24,17,45
1,KBR,TGG,466.09,10,24,18,25
1,KBR,TGG,426.1,10,24,19,40
1,KBR,TWU,239.0,10,24,17,45
1,KBR,TWU,239.0,10,24,18,25
1,KBR,TWU,239.0,10,24,19,40
1,KCH,AOR,1086.11,10,24,9,10
0,KCH,BKI,394.3,10,24,13,50
0,KCH,BTU,304.0,10,24,11,10
0,KCH,BTU,304.0,10,24,17,35
0,KCH,KUL,914.3,10,24,9,10
0,KCH,KUL,914.3,10,24,17,0
0,KCH,MYY,114.0,10,24,8,15
0,KCH,MYY,144.0,10,24,11,45
0,KCH,MYY,364.0,10,24,13,45
0,KCH,MYY,144.0,10,24,20,10
0,KCH,SBW,164.0,10,24,9,35
0,KCH,SBW,164.0,10,24,14,40
0,KCH,SBW,164.0,10,24,16,55
0,KCH,SBW,164.0,10,24,19,5
1,KCH,TGG,1096.1,10,24,9,10
1,KCH,TGG,1116.11,10,24,9,10
1,KCH,TGG,1156.1,10,24,17,0
0,KUL,AOR,104.3,10,24,13,15
0,KUL,BKI,144.3,10,24,6,0
0,KUL,BKI,284.3,10,24,14,40
0,KUL,BKI,164.3,10,24,20,45
0,KUL,JHB,114.3,10,24,9,40
0,KUL,KBR,104.3,10,24,10,5
0,KUL,KBR,104.3,10,24,12,10
0,KUL,KBR,104.3,10,24,16,15
0,KUL,KBR,104.3,10,24,16,55
0,KUL,KBR,104.3,10,24,18,10
0,KUL,KCH,1304.3,10,24,11,25
0,KUL,TGG,114.3,10,24,9,20
0,KUL,TGG,114.3,10,24,14,0
0,KUL,TGG,134.3,10,24,15,15
0,KUL,TWU,154.31,10,24,7,20
0,KUL,TWU,244.3,10,24,13,15
1,LBU,JHB,446.1,10,24,14,30
1,LBU,KBR,456.1,10,24,14,30
1,LBU,KBR,456.1,10,24,14,30
0,LBU,KUL,264.3,10,24,14,30
1,LBU,LGK,476.1,10,24,14,30
1,LBU,LGK,456.1,10,24,14,30
1,LBU,LGK,476.1,10,24,14,30
1,LBU,LGK,476.1,10,24,14,30
1,LBU,LGK,606.1,10,24,14,30
1,LBU,PEN,219.0,10,24,14,30
1,LBU,PEN,219.0,10,24,14,30
1,LBU,PEN,219.0,10,24,14,30
1,LGK,BKI,586.11,10,24,8,40
1,LGK,BKI,506.1,10,24,12,5
1,LGK,BKI,616.1,10,24,12,35
1,LGK,BKI,886.1,10,24,14,10
1,LGK,BKI,716.11,10,24,15,30
1,LGK,BKI,506.1,10,24,16,35
1,LGK,BKI,696.1,10,24,19,0
1,LGK,BKI,696.1,10,24,20,5
0,LGK,IPH,364.3,10,24,11,35
0,LGK,JHB,334.3,10,24,15,10
0,LGK,KUL,234.3,10,24,8,40
0,LGK,KUL,274.3,10,24,12,5
0,LGK,KUL,384.3,10,24,12,35
0,LGK,KUL,574.3,10,24,14,10
0,LGK,KUL,484.3,10,24,15,30
0,LGK,KUL,274.3,10,24,16,35
0,LGK,KUL,384.3,10,24,19,0
0,LGK,KUL,384.3,10,24,20,5
1,LGK,LBU,606.1,10,24,8,40
1,LGK,LBU,906.1,10,24,14,10
1,LGK,LBU,606.1,10,24,16,35
1,LGK,LBU,716.11,10,24,19,0
1,LGK,LBU,716.11,10,24,20,5
0,LGK,PEN,164.3,10,24,10,5
0,LGK,PEN,184.3,10,24,17,55
1,LGK,SDK,596.1,10,24,8,40
1,LGK,SDK,986.1,10,24,14,10
1,LGK,SDK,796.1,10,24,19,0
1,LGK,SDK,796.1,10,24,20,5
1,LGK,TGG,436.11,10,24,8,40
1,LGK,TGG,416.1,10,24,8,40
1,LGK,TGG,476.1,10,24,12,5
1,LGK,TGG,756.1,10,24,14,10
1,LGK,TGG,816.09,10,24,14,10
1,LGK,TGG,626.1,10,24,19,0
1,LGK,TGG,626.1,10,24,20,5
1,LGK,TWU,546.1,10,24,8,40
1,LGK,TWU,886.1,10,24,14,10
1,LGK,TWU,696.1,10,24,19,0
1,LGK,TWU,696.1,10,24,20,5
1,MYY,AOR,179.0,10,24,18,25
0,MYY,BKI,374.3,10,24,9,25
1,MYY,KBR,179.0,10,24,18,25
1,MYY,KBR,179.0,10,24,18,25
1,MYY,KBR,179.0,10,24,18,25
0,MYY,KCH,114.0,10,24,9,45
0,MYY,KCH,144.0,10,24,13,15
0,MYY,KCH,144.0,10,24,15,15
0,MYY,KCH,114.0,10,24,21,40
0,MYY,KUL,574.3,10,24,18,25
1,MYY,LGK,786.1,10,24,18,25
1,MYY,LGK,836.1,10,24,18,25
1,MYY,LGK,766.09,10,24,18,25
1,MYY,LGK,916.1,10,24,18,25
1,MYY,LGK,786.1,10,24,18,25
1,MYY,LGK,786.1,10,24,18,25
1,MYY,PEN,169.0,10,24,18,25
