Request On,Departure - Destination,Departure Date,Stop,Departure Time - Arrival Time (Price)
21/10/2021 15:50:18,AOR - BKI,10/24/2021,1 stop,14:45 - 08:45 (RM209.00)
21/10/2021 15:50:18,AOR - BKI,10/24/2021,1 stop,14:45 - 23:25 (RM446.10)
21/10/2021 15:50:51,AOR - JHB,10/24/2021,Direct,11:20 - 12:45 (RM304.30)
21/10/2021 15:54:42,BKI - AOR,10/24/2021,1 stop,09:10 - 14:20 (RM496.10)
21/10/2021 15:54:42,BKI - AOR,10/24/2021,1 stop,17:45 - 14:20 (RM456.11)
21/10/2021 15:56:08,BKI - JHB,10/24/2021,Direct,10:45 - 13:00 (RM374.30)
21/10/2021 15:56:31,BKI - KCH,10/24/2021,Direct,15:45 - 17:10 (RM444.30)
21/10/2021 15:56:42,BKI - KUL,10/24/2021,Direct,09:10 - 11:45 (RM324.30)
21/10/2021 15:56:42,BKI - KUL,10/24/2021,Direct,11:40 - 14:15 (RM324.30)
21/10/2021 15:56:42,BKI - KUL,10/24/2021,Direct,17:45 - 20:20 (RM324.30)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,09:10 - 18:25 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,09:10 - 14:55 (RM536.10)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,09:10 - 17:20 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,09:10 - 19:30 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,09:10 - 16:00 (RM556.10)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,11:40 - 18:25 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,11:40 - 19:30 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,11:40 - 17:20 (RM516.09)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,17:45 - 08:05 (RM536.10)
21/10/2021 15:57:04,BKI - LGK,10/24/2021,1 stop,17:45 - 09:00 (RM536.10)
21/10/2021 15:57:16,BKI - MYY,10/24/2021,Direct,08:05 - 09:00 (RM314.30)
21/10/2021 15:57:27,BKI - PEN,10/24/2021,Direct,17:30 - 20:10 (RM284.30)
21/10/2021 15:57:38,BKI - SDK,10/24/2021,Direct,10:00 - 10:45 (RM104.00)
21/10/2021 15:57:38,BKI - SDK,10/24/2021,Direct,12:25 - 13:10 (RM164.00)
21/10/2021 15:57:38,BKI - SDK,10/24/2021,Direct,13:20 - 14:10 (RM194.00)
21/10/2021 15:58:11,BKI - TWU,10/24/2021,Direct,07:25 - 08:20 (RM174.00)
21/10/2021 15:58:11,BKI - TWU,10/24/2021,Direct,10:45 - 11:35 (RM214.00)
21/10/2021 15:58:11,BKI - TWU,10/24/2021,Direct,14:50 - 15:45 (RM264.00)
21/10/2021 15:59:27,BTU - KCH,10/24/2021,Direct,12:30 - 13:20 (RM424.00)
21/10/2021 15:59:27,BTU - KCH,10/24/2021,Direct,18:55 - 19:45 (RM304.00)
21/10/2021 16:02:55,IPH - LGK,10/24/2021,Direct,12:50 - 13:40 (RM314.30)
21/10/2021 16:04:24,JHB - AOR,10/24/2021,Direct,09:30 - 10:55 (RM224.30)
21/10/2021 16:04:35,JHB - BKI,10/24/2021,Direct,08:00 - 10:20 (RM324.30)
21/10/2021 16:05:43,JHB - KUL,10/24/2021,Direct,08:25 - 09:15 (RM134.30)
